Passenger_ID,Passenger_Name,Age,Gender,Nationality,Travel_Class,Flight_ID,Booking_Channel,Ticket_Price_USD,Satisfaction_Score,Satisfaction_Level
PS00173,Isha Joseph,63,Male,UAE,Premium Economy,FL04907,Mobile App,659.0,4.4,Very Satisfied
PS00174,Ananya Taylor,49,Female,American,Economy,FL02579,Travel Agent,631.0,4.3,Very Satisfied
PS00175,Priya Singh,31,Female,American,Economy,FL01884,Mobile App,392.0,4.4,Very Satisfied
PS00176,Rahul Brown,22,Male,German,Business,FL00092,Mobile App,196.0,4.1,Very Satisfied
PS00177,Arjun Iyer,71,Female,German,Premium Economy,FL01733,Website,1019.0,4.3,Very Satisfied
PS00178,Nisha Wilson,56,Female,American,Economy,FL04263,Airport Counter,849.0,3.7,Satisfied
PS00179,Aditya Kumar,38,Female,British,Economy,FL04914,Website,1334.0,4.6,Very Satisfied
PS00180,Aditya Patel,54,Female,Australian,Premium Economy,FL01781,Travel Agent,1134.0,3.3,Satisfied
PS00181,Olivia Kumar,59,Male,Australian,Economy,FL02753,Mobile App,1108.0,4.3,Very Satisfied
PS00182,Nisha Nair,29,Male,Singaporean,Business,FL04670,Mobile App,838.0,4.4,Very Satisfied
PS00183,Aditya Nair,70,Male,Australian,Economy,FL00200,Travel Agent,1109.0,3.5,Satisfied
PS00184,Ananya Martin,70,Male,Indian,Economy,FL03102,Travel Agent,325.0,4.4,Very Satisfied
PS00185,Ananya Patel,67,Female,Canadian,Economy,FL02172,Airport Counter,1407.0,3.2,Satisfied
PS00186,Aisha Sharma,58,Male,Singaporean,Economy,FL02787,Mobile App,877.0,3.7,Satisfied
PS00187,Priya Gupta,37,Male,UAE,Economy,FL00757,Travel Agent,354.0,4.1,Very Satisfied
PS00188,Kabir Wilson,18,Female,German,Economy,FL01750,Airport Counter,1467.0,3.9,Satisfied
PS00189,Meera Brown,62,Female,British,Premium Economy,FL02053,Mobile App,330.0,3.7,Satisfied
PS00190,Daniel Thomas,50,Female,Australian,Economy,FL00639,Airport Counter,1249.0,3.4,Satisfied
PS00191,Rohan Joseph,31,Male,Canadian,Economy,FL00864,Website,315.0,2.2,Dissatisfied
PS00192,Noah Gupta,44,Male,Indian,Economy,FL04174,Travel Agent,271.0,4.5,Very Satisfied
PS00193,Kabir Patel,70,Female,Australian,Economy,FL01470,Website,1010.0,3.9,Satisfied
PS00194,Daniel Kumar,33,Male,UAE,Economy,FL01902,Mobile App,878.0,4.3,Very Satisfied
PS00195,Isha Wilson,43,Female,German,Economy,FL04422,Mobile App,202.0,3.6,Satisfied
PS00196,Rahul Taylor,31,Male,American,Economy,FL04784,Mobile App,791.0,4.6,Very Satisfied
PS00197,Aarav Kumar,67,Female,American,Economy,FL00463,Travel Agent,632.0,3.6,Satisfied
PS00198,Daniel Thomas,72,Female,German,Economy,FL04877,Mobile App,1350.0,4.8,Very Satisfied
PS00199,Aisha Gupta,37,Male,Indian,Economy,FL03945,Website,1030.0,2.4,Dissatisfied
PS00200,Karan Kumar,25,Male,American,First,FL04844,Airport Counter,993.0,3.8,Satisfied
PS00201,Ananya Patel,71,Male,German,Premium Economy,FL01966,Airport Counter,1079.0,3.3,Satisfied
PS00202,Ananya Brown,54,Male,British,Business,FL04504,Website,1143.0,4.3,Very Satisfied
PS00203,Rahul Taylor,61,Female,British,Economy,FL03753,Travel Agent,245.0,4.2,Very Satisfied
PS00204,Kabir Gupta,19,Male,UAE,Premium Economy,FL03624,Mobile App,447.0,4.3,Very Satisfied
PS00205,Aisha Sharma,51,Female,British,Business,FL02712,Website,756.0,4.2,Very Satisfied
PS00206,Kabir Nair,54,Male,Singaporean,Premium Economy,FL03105,Mobile App,461.0,3.6,Satisfied
PS00207,Priya Taylor,26,Female,Singaporean,Business,FL02504,Mobile App,1009.0,3.3,Satisfied
PS00208,Kabir Patel,33,Other,American,Economy,FL04061,Website,232.0,3.7,Satisfied
PS00209,Priya Wilson,34,Female,British,Business,FL02804,Travel Agent,1175.0,2.5,Dissatisfied
PS00210,Kabir Thomas,37,Male,American,Economy,FL00830,Mobile App,979.0,4.8,Very Satisfied
PS00211,Arjun Gupta,52,Male,British,Economy,FL02078,Website,830.0,5.0,Very Satisfied
PS00212,Sneha Singh,37,Male,Singaporean,Economy,FL00317,Mobile App,216.0,3.5,Satisfied
PS00213,Aditya Patel,58,Male,Singaporean,Economy,FL01872,Website,710.0,3.0,Dissatisfied
PS00214,Arjun Sharma,23,Male,UAE,Business,FL00543,Mobile App,1052.0,4.2,Very Satisfied
PS00215,Arjun Brown,55,Female,American,Economy,FL00514,Mobile App,841.0,3.6,Satisfied
PS00216,Daniel Singh,58,Male,American,Economy,FL00842,Travel Agent,950.0,4.9,Very Satisfied
PS00217,Noah Thomas,47,Male,Australian,Economy,FL03861,Website,891.0,5.0,Very Satisfied
PS00218,Aisha Thomas,55,Male,Indian,Business,FL00436,Airport Counter,108.0,5.0,Very Satisfied
PS00219,Olivia Singh,65,Female,British,First,FL00960,Mobile App,241.0,4.8,Very Satisfied
PS00220,Emma Brown,40,Male,UAE,Economy,FL03590,Website,607.0,4.1,Very Satisfied
PS00221,Rahul Reddy,51,Female,British,Economy,FL01122,Website,1436.0,3.0,Dissatisfied
PS00222,Olivia Nair,64,Female,German,Economy,FL03356,Website,319.0,4.3,Very Satisfied
PS00223,Ananya Taylor,49,Female,German,Premium Economy,FL00105,Website,1471.0,3.2,Satisfied
PS00224,Diya Singh,39,Male,Australian,Premium Economy,FL01156,Website,1440.0,3.8,Satisfied
PS00225,Kabir Smith,42,Female,Canadian,Economy,FL00134,Website,692.0,4.8,Very Satisfied
PS00226,Ananya Kumar,57,Female,Indian,Business,FL04806,Mobile App,656.0,4.5,Very Satisfied
PS00227,Nisha Brown,51,Male,Indian,Economy,FL04429,Website,1479.0,4.2,Very Satisfied
PS00228,Arjun Martin,58,Male,Australian,Premium Economy,FL01784,Website,1249.0,3.9,Satisfied
PS00229,Rohan Sharma,75,Male,UAE,Economy,FL03590,Website,836.0,4.7,Very Satisfied
PS00230,Rohan Singh,49,Female,British,Premium Economy,FL02409,Website,99.0,5.0,Very Satisfied
PS00231,Meera Taylor,20,Female,Canadian,Business,FL00040,Website,1038.0,3.6,Satisfied
PS00232,Aditya Patel,71,Female,Canadian,Premium Economy,FL01723,Airport Counter,1055.0,4.3,Very Satisfied
PS00233,Isha Singh,18,Female,Singaporean,Premium Economy,FL02663,Mobile App,541.0,3.3,Satisfied
PS00234,Emma Smith,66,Male,Canadian,Business,FL03496,Website,87.0,4.2,Very Satisfied
PS00235,Sneha Joseph,54,Female,Singaporean,Business,FL03565,Website,273.0,3.5,Satisfied
PS00236,Rahul Taylor,31,Female,Australian,Economy,FL02769,Website,348.0,2.0,Very Dissatisfied
PS00237,Olivia Wilson,44,Female,British,Economy,FL01541,Mobile App,1037.0,4.2,Very Satisfied
PS00238,Meera Patel,74,Female,Canadian,Economy,FL02357,Mobile App,511.0,3.9,Satisfied
PS00239,Priya Reddy,75,Female,Indian,Business,FL03441,Airport Counter,188.0,4.1,Very Satisfied
PS00240,Aditya Wilson,36,Female,Singaporean,Economy,FL02256,Airport Counter,784.0,3.7,Satisfied
PS00241,Aarav Patel,50,Male,British,Economy,FL03362,Airport Counter,489.0,4.5,Very Satisfied
PS00242,Diya Sharma,32,Male,British,Economy,FL03613,Website,1296.0,3.4,Satisfied
PS00243,Aditya Kumar,44,Female,American,Economy,FL02829,Travel Agent,649.0,3.8,Satisfied
PS00244,Aditya Patel,41,Female,UAE,Economy,FL04056,Mobile App,1088.0,3.9,Satisfied
PS00245,Priya Joseph,22,Male,British,Premium Economy,FL03100,Travel Agent,1354.0,4.4,Very Satisfied
PS00246,Emma Nair,60,Female,American,Premium Economy,FL01653,Travel Agent,119.0,4.2,Very Satisfied
PS00247,Aisha Iyer,57,Female,Singaporean,Economy,FL02064,Airport Counter,554.0,4.1,Satisfied
PS00248,Rohan Martin,18,Female,Australian,Premium Economy,FL03778,Mobile App,256.0,4.4,Very Satisfied
PS00249,Kabir Taylor,51,Male,Indian,Premium Economy,FL04734,Website,76.0,5.0,Very Satisfied
PS00250,Isha Sharma,64,Other,Singaporean,Business,FL04365,Website,464.0,4.3,Very Satisfied
PS00251,Aisha Iyer,24,Female,British,Business,FL04407,Mobile App,1494.0,5.0,Very Satisfied
PS00252,Aarav Thomas,28,Male,Canadian,Premium Economy,FL01370,Travel Agent,992.0,4.2,Very Satisfied
PS00253,Kabir Brown,42,Female,Australian,Economy,FL04099,Website,1313.0,4.6,Very Satisfied
PS00254,Aarav Joseph,47,Male,Singaporean,Economy,FL01614,Travel Agent,1358.0,4.3,Very Satisfied
PS00255,Arjun Gupta,32,Female,Indian,Economy,FL02338,Website,891.0,4.2,Very Satisfied
PS00256,Aarav Thomas,69,Male,UAE,Economy,FL01870,Website,1225.0,2.7,Dissatisfied
PS00257,Isha Patel,51,Male,American,Economy,FL01839,Website,130.0,4.7,Very Satisfied
PS00258,Rohan Reddy,54,Female,Canadian,Economy,FL02921,Website,665.0,3.8,Satisfied
PS00259,Aarav Kumar,34,Female,Singaporean,Premium Economy,FL04334,Travel Agent,508.0,2.7,Dissatisfied
PS00260,Karan Wilson,53,Male,Australian,Business,FL04255,Website,1151.0,3.9,Satisfied
PS00261,Ananya Sharma,24,Female,British,Economy,FL03845,Website,388.0,3.9,Satisfied
PS00262,Priya Joseph,49,Female,Australian,Economy,FL02347,Website,963.0,4.1,Very Satisfied
PS00263,Ananya Joseph,22,Male,American,Business,FL03749,Website,1215.0,5.0,Very Satisfied
PS00264,Diya Thomas,74,Female,Canadian,Economy,FL03087,Website,346.0,4.1,Very Satisfied
PS00265,Rahul Smith,61,Female,Singaporean,Economy,FL04485,Travel Agent,216.0,4.2,Very Satisfied
PS00266,Sneha Smith,70,Female,Indian,Economy,FL03562,Travel Agent,1343.0,4.0,Satisfied
